index,article_index,date,sentiment_score,sentiment_score_alchemy,relevance,entity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,callout_flag,callout_text
0,365,20160111,-0.557218,-0.295045,0.754779,Sheffield Crown Court,0.244617,0.615047,0.167515,0.003471,0.134638,0,
1,363,20160112,-0.552245,-0.232549,0.517399,Crown Court,0.155896,0.218877,0.165683,0.018845,0.577753,0,
2,352,20160119,-0.614572,-0.45549,0.616562,Sheffield Crown Court,0.067552,0.522265,0.322841,0.012621,0.200163,0,
3,326,20160208,-0.46129,-0.595568,0.926445,Sheffield Crown,0.26617,0.672173,0.015347,0.015406,0.161277,0,
4,317,20160217,-0.575244,-0.57502,0.758134,Sheffield Crown Court,0.094437,0.506455,0.276869,0.046345,0.157926,0,
5,297,20160225,-0.679913,-0.469943,0.982556,Sheffield Crown Court.Bannaras,0.503426,0.376905,0.081318,0.029097,0.110402,0,
6,267,20160227,-0.389579,-0.356652,0.765768,Shef-field Crown Court,0.228179,0.387806,0.397346,0.008046,0.133434,0,
7,265,20160227,-0.32785,-0.547886,0.564342,Sheffield Crown Court.MacGregor,0.213975,0.750413,0.104941,0.00942,0.081922,0,
8,265,20160227,-0.32785,-0.347245,0.564342,Sheffield Crown Court,0.372745,0.105052,0.136144,0.136914,0.338923,0,
9,263,20160227,-0.440984,-0.388687,0.674265,Sheffield Crown Court,0.211476,0.559189,0.267903,0.000813,0.156501,0,
10,256,20160301,-0.690427,-0.589791,0.544902,Crown Court,0.101567,0.696954,0.073552,0.015663,0.23196,0,
11,253,20160303,-0.668274,-0.4881,0.945857,Office of Policing and Crime,0.419474,0.499451,0.112972,0.016039,0.049544,0,
12,253,20160303,-0.668274,-0.424848,0.945857,London Assembly Police and Crime Committee,0.141863,0.500273,0.107364,0.012944,0.370986,0,
13,241,20160309,-0.466509,0.274525,0.539742,Royal Courts of Justice,0.212419,0.159056,0.219406,0.241731,0.263052,0,
14,227,20160322,-0.889492,-0.511117,0.877919,Crown Court,0.118331,0.233688,0.248178,0.015912,0.506026,0,
15,225,20160323,-0.304592,-0.409131,0.653335,National Crime Agency,0.21744,0.303504,0.234457,0.006761,0.372523,1,National Crime Agency
16,223,20160323,-0.223659,-0.42299,0.61699,National Crime Agency,0.21744,0.303504,0.234457,0.006761,0.372523,0,
17,187,20160425,-0.409019,-0.205321,0.783177,Sheffield Crown Court,0.200383,0.705613,0.192397,0.008771,0.032088,1,Sheffield Crown Court
18,181,20160427,-0.2885,0.371157,0.725553,Ministry of Justice,0,0,0,0,0,0,
19,174,20160428,-0.613841,-0.401801,0.664256,perverting the course of justice,0.172707,0.215707,0.26892,0.147802,0.262091,0,
20,152,20160517,-0.240241,0.269872,0.766901,Justice Warby,0.410335,0.282203,0.113029,0.009022,0.30381,0,
21,132,20160601,-0.225663,-0.341877,0.587713,Mr Justice Warby,0.319762,0.315423,0.075728,0.128536,0.233916,0,
22,93,20160727,-0.344724,-0.416858,0.449637,National Crime Agency,0.179728,0.778569,0.130734,0.001236,0.051655,0,
23,65,20160815,-0.241644,0.429458,0.628753,Crime Prosecution Service,0.206157,0.424089,0.205258,0.192434,0.09502,1,Crime Prosecution Service
24,65,20160815,-0.241644,0.429458,0.56936,Crime Prosecution Service,0.206157,0.424089,0.205258,0.192434,0.09502,0,
25,65,20160815,-0.241644,-0.42741,0.56936,Justice Goddard,0,0,0,0,0,0,
26,32,20160921,-0.387981,-0.207836,0.497151,South Yorkshire Police and Crime Panel,0.067989,0.41501,0.358429,0.04576,0.23574,0,
27,32,20160921,-0.387981,-0.458457,0.497151,Police and Crime Panel,0.231872,0.351615,0.483374,0.000679,0.139486,0,
28,32,20160921,-0.387981,-0.207836,0.478496,South Yorkshire Police and Crime Panel,0.067989,0.41501,0.358429,0.04576,0.23574,0,
29,32,20160921,-0.387981,-0.458457,0.478496,Police and Crime Panel,0.231872,0.351615,0.483374,0.000679,0.139486,0,
30,21,20160930,-0.29078,-0.269263,0.535885,Crime Commissioners,0.137105,0.425305,0.452491,0.004529,0.168377,0,
31,21,20160930,-0.29078,-0.269263,0.652134,Crime Commissioners,0.137105,0.425305,0.452491,0.004529,0.168377,0,